"minute_id","time_id","date_time","tweet_text","tweet_id","Bing_Net_Sentiment","Bing_Normalized_Sentiment","Afinn_Net_Sentiment","Afinn_Normalized_Sentiment","ret_1_Min","ret_2_Min","ret_5_Min","ret_10_Min","ret_20_Min","ret_30_Min","ret_60_Min","ret_120_Min","ret_240_Min","ret_360_Min"
201803141649,"201803141649","3/14/2018 23:49","it was wonderful to be back in missouri where our push for historic tax cuts all began. six months ago i promised that we would cut taxes to bring main street roaring back - and that is exactly what is happening! https://t.co/4kpofeii3i",4490,5,12,5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201803150411,"201803150411","3/15/2018 11:11","larry kudlow will be my chief economic advisor as director of the national economic council. our country will have many years of great economic &amp; financial success with low taxes unparalleled innovation fair trade and an ever expanding labor force leading the way! #maga",4491,2,9,-2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201803150629,"201803150629","3/15/2018 13:29","we do have a trade deficit with canada as we do with almost all countries (some of them massive). p.m. justin trudeau of canada a very good guy doesn’t like saying that canada has a surplus vs. the u.s.(negotiating) but they do...they almost all do...and that’s how i know!",4492,NA,NA,2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201803221140,"201803221140","3/22/2018 18:40","as a candidate i pledged that if elected i would use every lawful tool to combat unfair trade protect american workers and defend our national security.  today we took another critical step to fulfill that commitment. https://t.co/7nbi0dibmx https://t.co/nmzqos3bua",4522,2,9,4,19,0.000123481,-0.000113956,0.000261149,0.000517957,0.001407138,0.001920554,0.001729923,0.0000523,-0.000561413,NA
201803261744,"201803261744","3/27/2018 0:44","trade talks going on with numerous countries that for many years have not treated the united states fairly. in the end all will be happy!",4543,-3,4,-1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201803280316,"201803280316","3/28/2018 10:16","received message last night from xi jinping of china that his meeting with kim jong un went very well and that kim looks forward to his meeting with me. in the meantime and unfortunately maximum sanctions and pressure must be maintained at all cost!",4547,NA,NA,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201803280914,"201803280914","3/28/2018 16:14",".@ustraderep just announced an agreement in principle with south korea on korus! a great deal for american and korean workers. let’s now focus on our important security relationship.",4548,NA,NA,-13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201804040422,"201804040422","4/4/2018 11:22","we are not in a trade war with china that war was lost many years ago by the foolish or incompetent people who represented the u.s. now we have a trade deficit of $500 billion a year with intellectual property theft of another $300 billion. we cannot let this continue!",4589,-6,1,-10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201804050610,"201804050610","4/5/2018 13:10","the fake news washington post amazon’s “chief lobbyist” has another (of many) phony headlines “trump defiant as china adds trade penalties.” wrong! should read “trump defiant as u.s. adds trade penalties will end barriers and massive  i.p. theft.” typically bad reporting!",4595,1,8,-2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201804051312,"201804051312","4/5/2018 20:12","thanks to our historic tax cuts america is open for business and millions of american workers are seeing more take-home pay through higher wages salaries and bonuses! https://t.co/0u3dpljiv2",4596,1,8,-1,14,-0.000118717,0.00000475,0.000185222,-0.000678987,0.001288133,0.001830004,0.00173423,0.000266248,NA,NA
201804060411,"201804060411","4/6/2018 11:11","despite the aluminum tariffs aluminum prices are down 4%. people are surprised i’m not! lots of money coming into u.s. coffers and jobs jobs jobs!",4598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201804060732,"201804060732","4/6/2018 14:32","china which is a great economic power is considered a developing nation within the world trade organization. they therefore get tremendous perks and advantages especially over the u.s. does anybody think this is fair. we were badly represented. the wto is unfair to u.s.",4599,-2,5,-7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
